1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,169,0,383,201,224,0,24,1,4,1,213,204,0,171,290,12,0,0
66,303,0,441,77,167,0,0,1,4,1,306,102,0,120,45,10,1,0
65,129,0,411,21,219,0,79,0,4,1,10,34,0,114,54,10,1,0
87,498,0,291,63,344,0,70,0,4,1,186,29,0,183,0,10,2,0
101,183,0,233,88,411,0,65,1,0,1,149,56,0,158,270,0,3,0
145,123,0,25,206,513,0,16,0,0,2,153,160,0,67,0,7,4,0
147,480,0,432,319,161,0,59,0,0,1,323,197,0,170,0,10,4,0
146,436,0,372,137,16,0,77,0,4,1,516,197,0,170,0,10,4,0
193,229,0,389,127,620,0,76,0,4,1,779,136,0,165,0,0,6,0
192,204,0,388,103,398,0,76,1,4,1,775,158,0,124,0,10,6,0
196,468,0,97,0,502,0,74,0,4,1,508,197,0,170,0,10,6,0
194,406,0,171,0,481,0,75,0,4,1,230,153,0,193,0,10,6,0
195,467,0,22,98,473,0,65,0,0,1,947,171,0,174,279,10,6,0
197,495,0,118,219,577,0,79,0,4,1,573,136,0,165,316,10,6,0
311,142,0,303,342,555,0,69,0,4,1,324,197,0,170,0,0,7,0
312,325,0,113,0,621,0,77,0,4,1,457,136,0,165,0,10,7,0
313,359,0,140,0,147,0,69,0,4,1,570,29,0,183,0,10,7,0
315,472,0,421,208,337,0,72,0,4,1,940,2,0,180,319,10,7,0
314,428,0,257,0,325,0,72,1,4,2,595,136,0,165,321,10,7,0
89,265,0,401,367,104,0,45,0,4,1,311,145,0,229,0,3,10,0
394,431,0,443,221,326,0,50,1,4,1,917,107,0,31,0,10,11,0
109,321,0,53,270,485,0,57,0,0,1,377,20,0,156,0,10,12,0
168,167,0,159,2,201,0,55,1,4,1,183,140,0,192,115,10,13,0
189,380,0,302,13,394,0,54,0,4,1,45,83,0,236,259,11,16,0
126,513,0,196,267,624,0,57,0,4,1,427,193,0,212,0,10,17,0
178,121,0,434,0,418,0,37,0,4,1,766,87,0,159,0,10,20,0
283,510,0,194,233,64,0,52,0,4,1,469,166,0,101,0,0,22,0
395,119,0,382,62,402,0,25,1,4,1,332,160,0,66,0,4,23,0
181,260,0,97,297,389,0,10,0,0,1,446,87,0,159,0,10,24,0
215,230,0,194,94,465,0,26,0,4,2,864,201,0,177,293,10,25,0
293,273,0,337,246,292,0,52,0,4,1,242,188,0,211,0,10,26,0
13,430,0,196,61,169,0,61,0,4,1,914,211,0,64,38,10,27,0
95,317,0,22,223,369,0,58,0,4,1,751,46,0,5,166,10,28,0
166,394,0,166,370,371,0,55,1,0,1,741,200,0,107,0,0,29,0
854,11,0,380,291,133,0,77,1,4,1,907,28,0,131,0,10,30,0
173,474,0,262,88,474,0,47,1,4,1,483,173,0,59,0,10,31,0
6,447,0,123,279,641,0,61,0,4,1,152,6,0,237,242,0,35,0
131,294,0,234,365,130,0,56,1,4,1,920,140,0,192,31,10,36,0
161,332,0,218,205,157,1,55,1,4,1,36,85,0,27,151,12,37,0
834,297,0,306,252,83,0,51,0,4,1,673,22,0,216,0,14,40,0
14,479,0,180,89,248,0,33,1,4,1,549,186,0,231,262,10,44,0
301,203,0,312,71,450,0,52,1,4,1,16,95,0,135,232,20,46,0
122,285,0,257,53,360,0,57,1,4,1,216,25,0,217,261,0,47,0
27,374,0,453,257,33,0,61,0,0,1,492,74,0,44,0,10,48,0
191,298,0,275,83,450,0,54,0,0,1,123,49,0,111,0,10,49,0
277,125,0,382,95,514,2,60,1,4,1,295,109,0,205,0,0,50,0
206,514,0,323,0,182,0,48,0,4,1,951,19,0,214,0,10,51,0
285,424,0,10,308,545,0,52,0,4,1,395,131,0,207,244,10,52,0
284,9,0,361,249,376,0,52,0,4,1,781,45,0,68,0,12,52,0
479,179,0,383,387,327,0,38,1,4,1,625,10,0,113,57,10,54,0
8,238,0,364,0,77,0,47,0,4,1,99,121,0,226,0,10,55,0
9,267,0,44,368,451,0,31,1,4,1,202,19,0,214,255,10,55,0
182,381,0,2,175,8,0,53,0,0,1,287,184,0,105,0,10,56,0
43,245,0,220,357,402,0,45,0,4,1,357,162,0,38,146,10,57,0
554,290,0,374,9,270,0,49,1,4,1,146,142,0,209,0,23,58,0
291,451,0,243,318,153,0,45,0,4,1,704,138,0,93,0,0,59,0
290,251,0,33,252,156,0,52,2,3,2,546,26,0,172,296,0,59,0
133,508,0,418,0,489,0,45,1,4,1,250,121,0,226,0,10,61,0
163,309,0,22,162,347,0,52,0,4,1,785,5,0,1,149,10,62,0
110,375,0,363,389,557,0,57,1,4,1,637,109,0,205,0,10,64,0
221,222,0,150,0,609,0,73,0,4,1,911,94,0,204,0,0,66,0
46,173,0,344,192,8,0,60,1,0,1,955,115,0,90,110,0,69,0
299,401,0,51,188,23,0,52,0,4,1,750,170,0,210,0,10,70,0
298,243,0,343,227,190,0,52,0,4,1,503,79,0,185,59,12,70,0
49,134,0,154,53,320,0,55,0,4,1,884,176,0,39,0,10,72,0
228,184,0,361,190,475,0,58,0,4,1,877,211,0,64,0,10,73,0
229,264,0,382,154,423,0,53,1,4,1,95,199,0,234,245,10,73,0
240,19,0,455,229,476,0,51,1,4,1,872,61,0,52,332,0,74,0
241,427,0,22,370,318,0,72,0,0,1,736,162,0,38,147,10,74,0
893,253,0,50,415,387,0,51,0,4,2,742,161,0,37,0,25,75,0
20,484,0,4,0,541,0,61,0,0,1,814,65,0,80,0,10,76,0
21,487,0,331,0,639,0,61,0,4,1,362,47,0,219,0,10,76,0
98,181,0,212,0,84,0,58,1,0,1,735,122,0,189,0,10,78,0
259,155,0,237,365,240,0,53,0,4,1,657,158,0,124,56,10,79,0
61,497,0,235,303,271,0,60,0,4,1,519,135,0,35,292,10,81,0
38,383,0,194,392,334,0,60,0,4,1,562,0,0,0,0,10,83,0
343,435,0,315,53,238,0,0,0,4,1,901,203,0,108,123,0,84,0
340,304,0,259,0,318,0,4,0,4,1,221,203,0,108,124,0,84,0
336,36,0,371,252,233,0,10,1,4,1,611,98,0,29,0,10,84,0
342,393,0,0,408,570,0,76,1,4,1,495,7,0,72,0,10,84,0
341,324,0,435,160,175,0,74,0,4,1,462,203,0,108,0,10,84,0
338,90,0,357,382,623,0,74,0,4,1,856,112,0,32,1,10,84,0
344,489,0,310,299,282,0,69,0,4,1,675,103,0,188,89,10,84,0
337,66,0,37,363,408,0,77,0,4,1,802,124,0,34,186,10,84,0
345,491,0,288,387,36,0,75,0,4,1,738,147,0,141,216,10,84,0
339,228,0,166,86,9,0,75,1,4,1,699,124,0,34,184,21,84,0
74,288,0,130,103,174,0,59,0,0,1,679,76,0,82,0,0,85,0
364,239,0,395,252,39,0,78,0,4,1,273,146,0,57,330,0,86,0
362,28,0,171,80,165,0,3,0,4,1,776,150,0,10,0,10,86,0
365,471,0,22,53,379,0,75,0,4,1,586,17,0,47,0,10,86,0
366,493,0,71,320,152,0,72,1,4,1,524,7,0,72,0,10,86,0
363,52,0,453,309,361,0,75,1,4,1,255,18,0,21,1,10,86,0
207,323,0,374,5,595,0,66,1,0,1,116,84,0,85,85,0,87,0
382,40,1,215,160,262,0,10,0,4,1,798,207,0,16,0,10,88,0
383,83,0,315,252,440,0,74,0,4,1,373,98,0,29,0,10,88,0
385,365,0,12,103,603,0,73,0,4,1,486,168,0,102,0,10,88,0
384,341,0,400,387,496,0,72,0,4,1,531,180,0,126,37,10,88,0
209,283,0,402,2,478,0,53,0,4,1,143,126,0,206,0,10,90,0
409,178,0,116,257,212,0,74,0,4,1,144,37,0,74,0,0,91,0
411,194,0,285,26,172,0,74,0,4,1,145,76,0,82,0,0,91,0
429,456,0,392,0,158,0,76,1,4,1,391,115,0,90,0,0,91,0
400,22,0,446,286,122,0,10,0,4,1,382,207,0,17,0,10,91,0
399,21,0,331,80,122,0,74,0,4,1,743,207,0,17,0,10,91,0
401,62,0,452,221,318,0,10,1,4,1,297,207,0,18,0,10,91,0
404,108,0,347,295,588,0,10,1,4,1,644,207,0,18,0,10,91,0
402,71,0,206,0,369,0,10,1,4,1,927,98,0,29,0,10,91,0
424,398,0,259,0,89,0,77,0,4,1,6,17,0,47,0,10,91,0
419,330,0,233,160,510,1,64,1,4,1,129,146,0,57,0,10,91,0
416,287,0,360,177,561,1,73,1,4,1,891,146,0,57,0,10,91,0
410,180,0,162,190,610,0,79,1,4,1,709,173,0,60,0,10,91,0
415,284,0,436,88,375,0,72,0,4,1,646,37,0,74,0,10,91,0
408,175,0,315,365,441,0,72,0,4,1,57,96,0,88,0,10,91,0
428,448,0,235,190,112,0,74,0,4,1,499,168,0,102,0,10,91,0
413,258,0,315,213,642,0,73,0,4,1,117,203,0,108,0,10,91,0
430,461,1,215,103,431,0,0,0,4,1,313,35,0,115,0,10,91,0
423,378,0,254,0,13,0,74,1,4,1,485,35,0,115,0,10,91,0
418,302,0,349,122,450,0,72,1,4,1,733,35,0,115,0,10,91,0
427,437,0,412,220,593,0,74,0,4,1,42,132,0,140,0,10,91,0
405,130,0,171,203,641,0,76,0,4,1,946,147,0,141,0,10,91,0
421,361,0,440,109,318,0,79,0,4,1,368,156,0,142,0,10,91,0
398,2,0,46,2,44,0,75,1,4,1,318,18,0,21,1,10,91,0
426,420,0,48,0,377,0,76,0,4,1,403,18,0,21,1,10,91,0
420,336,0,148,0,202,0,77,1,4,1,574,18,0,21,1,10,91,0
407,159,0,94,288,259,0,74,0,4,1,18,99,0,179,60,10,91,0
417,289,0,245,79,69,0,72,0,4,1,466,99,0,178,63,10,91,0
406,154,0,232,410,244,0,73,1,4,1,903,182,0,42,175,10,91,0
403,89,0,315,400,612,0,73,0,4,1,294,82,0,26,196,10,91,0
414,278,0,232,136,332,0,63,1,4,1,865,156,0,142,217,10,91,0
431,483,0,303,139,511,0,73,0,4,1,815,156,0,142,224,10,91,0
425,411,0,439,388,375,0,72,0,4,1,310,195,0,144,233,10,91,0
422,362,0,278,0,143,0,78,0,4,1,684,146,0,57,329,10,91,0
412,216,0,441,103,17,0,10,1,4,1,929,207,0,15,0,23,91,0
