1,2,3,4,5,6,7
0,0,39,3,0,61,0
1,1,33,1,1,62,0
2,2,30,0,1,63,1
3,3,28,2,1,64,1
4,4,29,4,2,65,2
5,5,30,5,2,66,2
6,6,32,6,2,67,2
7,7,34,7,3,68,3
8,8,35,8,3,69,3
9,9,37,9,3,0,4
10,10,38,10,4,1,4
11,11,40,11,4,2,5
12,12,41,12,5,3,5
13,13,43,13,5,4,5
14,14,45,14,5,5,6
15,15,48,15,6,6,6
16,16,50,16,6,7,6
17,17,51,17,7,8,6
18,18,51,18,7,9,6
19,19,49,19,8,10,7
20,20,47,23,8,11,7
21,21,46,25,9,12,7
22,22,44,28,9,13,7
23,23,42,27,10,14,7
24,24,40,24,10,15,8
25,25,35,22,11,16,8
26,26,32,20,11,17,8
27,27,29,21,12,18,9
28,28,28,26,12,19,9
29,29,29,29,13,20,9
30,30,29,30,13,21,10
31,31,29,39,14,22,10
32,32,30,46,15,23,11
33,33,32,57,15,24,11
34,34,34,63,16,25,11
35,35,35,65,16,26,12
36,36,36,67,17,27,12
37,37,35,69,18,28,12
38,38,31,68,18,29,13
39,39,27,66,19,30,13
40,40,26,64,19,31,13
41,41,25,59,20,32,14
42,42,24,49,20,33,14
43,43,23,44,21,34,14
44,44,22,42,22,35,15
45,45,21,40,22,36,15
46,46,20,38,23,37,16
47,47,19,36,23,38,16
48,48,18,35,24,39,16
49,49,17,33,24,40,17
50,50,16,31,25,41,17
51,51,15,32,25,42,18
52,52,14,34,26,43,18
53,53,13,37,26,44,19
54,54,13,41,27,45,19
55,55,13,45,27,46,20
56,56,12,48,28,47,20
57,57,12,50,29,48,21
58,58,11,52,29,49,21
59,59,10,54,30,50,22
60,60,9,56,30,51,22
61,61,8,60,31,52,23
62,62,7,62,31,53,23
63,63,6,61,32,54,23
64,64,5,58,33,55,24
65,65,4,55,33,56,24
66,66,3,53,34,57,25
67,67,2,51,34,58,25
68,68,1,47,35,59,26
69,69,0,43,35,60,26
0,0,39,3,0,61,0
1,1,33,1,1,62,0
2,2,30,0,1,63,1
3,3,28,2,1,64,1
4,4,29,4,2,65,2
5,5,30,5,2,66,2
6,6,32,6,2,67,2
7,7,34,7,3,68,3
8,8,35,8,3,69,3
9,9,37,9,3,0,4
10,10,38,10,4,1,4
11,11,40,11,4,2,5
12,12,41,12,5,3,5
13,13,43,13,5,4,5
14,14,45,14,5,5,6
15,15,48,15,6,6,6
16,16,50,16,6,7,6
17,17,51,17,7,8,6
18,18,51,18,7,9,6
19,19,49,19,8,10,7
20,20,47,23,8,11,7
21,21,46,25,9,12,7
22,22,44,28,9,13,7
23,23,42,27,10,14,7
24,24,40,24,10,15,8
25,25,35,22,11,16,8
26,26,32,20,11,17,8
27,27,29,21,12,18,9
28,28,28,26,12,19,9
29,29,29,29,13,20,9
30,30,29,30,13,21,10
31,31,29,39,14,22,10
32,32,30,46,15,23,11
33,33,32,57,15,24,11
34,34,34,63,16,25,11
35,35,35,65,16,26,12
36,36,36,67,17,27,12
37,37,35,69,18,28,12
38,38,31,68,18,29,13
39,39,27,66,19,30,13
40,40,26,64,19,31,13
41,41,25,59,20,32,14
42,42,24,49,20,33,14
43,43,23,44,21,34,14
44,44,22,42,22,35,15
45,45,21,40,22,36,15
46,46,20,38,23,37,16
47,47,19,36,23,38,16
48,48,18,35,24,39,16
49,49,17,33,24,40,17
50,50,16,31,25,41,17
51,51,15,32,25,42,18
52,52,14,34,26,43,18
53,53,13,37,26,44,19
54,54,13,41,27,45,19
55,55,13,45,27,46,20
56,56,12,48,28,47,20
57,57,12,50,29,48,21
58,58,11,52,29,49,21
59,59,10,54,30,50,22
60,60,9,56,30,51,22
61,61,8,60,31,52,23
62,62,7,62,31,53,23
63,63,6,61,32,54,23
64,64,5,58,33,55,24
65,65,4,55,33,56,24
66,66,3,53,34,57,25
67,67,2,51,34,58,25
68,68,1,47,35,59,26
69,69,0,43,35,60,26
0,0,39,3,0,61,0
1,1,33,1,1,62,0
2,2,30,0,1,63,1
3,3,28,2,1,64,1
4,4,29,4,2,65,2
5,5,30,5,2,66,2
6,6,32,6,2,67,2
7,7,34,7,3,68,3
8,8,35,8,3,69,3
9,9,37,9,3,0,4
10,10,38,10,4,1,4
11,11,40,11,4,2,5
12,12,41,12,5,3,5
13,13,43,13,5,4,5
14,14,45,14,5,5,6
15,15,48,15,6,6,6
16,16,50,16,6,7,6
17,17,51,17,7,8,6
18,18,51,18,7,9,6
19,19,49,19,8,10,7
20,20,47,23,8,11,7
21,21,46,25,9,12,7
22,22,44,28,9,13,7
23,23,42,27,10,14,7
24,24,40,24,10,15,8
25,25,35,22,11,16,8
26,26,32,20,11,17,8
27,27,29,21,12,18,9
28,28,28,26,12,19,9
29,29,29,29,13,20,9
30,30,29,30,13,21,10
31,31,29,39,14,22,10
32,32,30,46,15,23,11
33,33,32,57,15,24,11
34,34,34,63,16,25,11
35,35,35,65,16,26,12
36,36,36,67,17,27,12
37,37,35,69,18,28,12
38,38,31,68,18,29,13
39,39,27,66,19,30,13
40,40,26,64,19,31,13
41,41,25,59,20,32,14
42,42,24,49,20,33,14
43,43,23,44,21,34,14
44,44,22,42,22,35,15
45,45,21,40,22,36,15
46,46,20,38,23,37,16
47,47,19,36,23,38,16
48,48,18,35,24,39,16
49,49,17,33,24,40,17
50,50,16,31,25,41,17
51,51,15,32,25,42,18
52,52,14,34,26,43,18
53,53,13,37,26,44,19
54,54,13,41,27,45,19
55,55,13,45,27,46,20
56,56,12,48,28,47,20
57,57,12,50,29,48,21
58,58,11,52,29,49,21
59,59,10,54,30,50,22
60,60,9,56,30,51,22
61,61,8,60,31,52,23
62,62,7,62,31,53,23
63,63,6,61,32,54,23
64,64,5,58,33,55,24
65,65,4,55,33,56,24
66,66,3,53,34,57,25
67,67,2,51,34,58,25
68,68,1,47,35,59,26
69,69,0,43,35,60,26
0,0,39,3,0,61,0
1,1,33,1,1,62,0
2,2,30,0,1,63,1
3,3,28,2,1,64,1
4,4,29,4,2,65,2
5,5,30,5,2,66,2
6,6,32,6,2,67,2
7,7,34,7,3,68,3
8,8,35,8,3,69,3
9,9,37,9,3,0,4
10,10,38,10,4,1,4
11,11,40,11,4,2,5
12,12,41,12,5,3,5
13,13,43,13,5,4,5
14,14,45,14,5,5,6
15,15,48,15,6,6,6
16,16,50,16,6,7,6
17,17,51,17,7,8,6
18,18,51,18,7,9,6
19,19,49,19,8,10,7
20,20,47,23,8,11,7
21,21,46,25,9,12,7
22,22,44,28,9,13,7
23,23,42,27,10,14,7
24,24,40,24,10,15,8
25,25,35,22,11,16,8
26,26,32,20,11,17,8
27,27,29,21,12,18,9
28,28,28,26,12,19,9
29,29,29,29,13,20,9
30,30,29,30,13,21,10
31,31,29,39,14,22,10
32,32,30,46,15,23,11
33,33,32,57,15,24,11
34,34,34,63,16,25,11
